benchmark,language,size_or_limit,result,time_ms
sieve,C,1000000,78498,3.8
sieve,C++,1000000,78498,5.07833
sieve,Rust,1000000,78498,3.9
sieve,Python,1000000,78498,1129.7
sieve,JS,1000000,78498,69.7
sieve,Bun,1000000,78498,164.4
sieve,Deno,1000000,78498,54.6
sieve,Python+NumPy,1000000,78498,2.5
sieve,C# native,1000000,78498,4
sieve,C# vectorized,1000000,78498,4
sieve,Poly VM,1000000,78498,17
mandelbrot,C,128,458080,0.8
mandelbrot,C++,128,458080,0.802125
mandelbrot,Rust,128,458080,0.8
mandelbrot,Python,128,458080,48.7
mandelbrot,JS,128,458080,3.5
mandelbrot,Bun,128,458080,3.7
mandelbrot,Deno,128,458080,4.1
mandelbrot,Python+NumPy,128,458080,19.1
mandelbrot,C# native,128,458080,0
mandelbrot,C# vectorized,128,458080,1
mandelbrot,Poly VM,128,458080,17
nqueens,C,8,92,0.0
nqueens,C++,8,92,0.015917
nqueens,Rust,8,92,0.0
nqueens,Python,8,92,0.6
nqueens,JS,8,92,0.7
nqueens,Bun,8,92,0.7
nqueens,Deno,8,92,0.7
nqueens,Python+NumPy,8,92,0.6
nqueens,C# native,8,92,0
nqueens,C# vectorized,8,92,0
nqueens,Poly VM,8,92,14
collatz,C,1000000,837799:524,146.7
collatz,C++,1000000,837799:524,162.166
collatz,Rust,1000000,837799:524,106.3
collatz,Python,1000000,837799:524,5220.3
collatz,JS,1000000,837799:524,1823.1
collatz,Bun,1000000,837799:524,354.2
collatz,Deno,1000000,837799:524,627.4
collatz,Python+NumPy,1000000,837799:524,5107.9
collatz,C# native,1000000,837799:524,172
collatz,C# vectorized,1000000,837799:524,171
collatz,Poly VM,1000000,837799:524,536
