benchmark,language,size_or_limit,result,runs,min_ms,max_ms,avg_ms,prep_ms
sieve,C,1000000,78498,5,3.8,4.0,3.9,0
sieve,C++,1000000,78498,5,4.28704,5.03258,4.7,0
sieve,Rust,1000000,78498,5,4.1,4.5,4.3,0
sieve,Python,1000000,78498,5,1107.2,1142.6,1128.4,0
sieve,JS,1000000,78498,5,53.5,56.6,55.3,0
sieve,Bun,1000000,78498,5,145.7,152.6,148.3,0
sieve,Deno,1000000,78498,5,39.8,41.4,40.4,0
sieve,Py+NumPy,1000000,78498,5,2.0,2.1,2.1,0
sieve,C# native,1000000,78498,5,3,4,3.8,0
sieve,C# vectorized,1000000,78498,5,4,4,4.0,0
sieve,Poly VM,1000000,78498,5,4,4,4.0,55
mandelbrot,C,128,458080,5,0.8,0.8,0.8,0
mandelbrot,C++,128,458080,5,0.788625,0.801916,0.8,0
mandelbrot,Rust,128,458080,5,0.8,0.8,0.8,0
mandelbrot,Python,128,458080,5,48.8,49.5,49.1,0
mandelbrot,JS,128,458080,5,3.2,3.5,3.3,0
mandelbrot,Bun,128,458080,5,3.3,4.3,3.5,0
mandelbrot,Deno,128,458080,5,3.1,3.3,3.2,0
mandelbrot,Py+NumPy,128,458080,5,17.7,24.6,19.8,0
mandelbrot,C# native,128,458080,5,1,1,1.0,0
mandelbrot,C# vectorized,128,458080,5,0,3,1.2,0
mandelbrot,Poly VM,128,458080,5,2,2,2.0,47
mandelbrot,Poly VM double,128,5,453734,453734,453734.0,3
nqueens,C,8,92,5,0.0,0.0,0.0,0
nqueens,C++,8,92,5,0.015959,0.016542,0.0,0
nqueens,Rust,8,92,5,0.0,0.0,0.0,0
nqueens,Python,8,92,5,0.6,0.9,0.7,0
nqueens,JS,8,92,5,0.7,0.8,0.7,0
nqueens,Bun,8,92,5,0.4,0.5,0.4,0
nqueens,Deno,8,92,5,0.6,0.7,0.6,0
nqueens,Py+NumPy,8,92,5,0.6,0.6,0.6,0
nqueens,C# native,8,92,5,0,0,0.0,0
nqueens,C# vectorized,8,92,5,0,0,0.0,0
nqueens,Poly VM,8,92,5,1,2,1.2,58
collatz,C,1000000,837799:524,5,148.9,157.8,153.1,0
collatz,C++,1000000,837799:524,5,152.831,162.909,155.9,0
collatz,Rust,1000000,837799:524,5,106.6,112.6,109.5,0
collatz,Python,1000000,837799:524,5,5275.2,5815.6,5527.7,0
collatz,JS,1000000,837799:524,5,1836.8,1937.6,1885.5,0
collatz,Bun,1000000,837799:524,5,350.9,369.8,360.0,0
collatz,Deno,1000000,837799:524,5,638.3,671.4,658.0,0
collatz,Py+NumPy,1000000,837799:524,5,5095.8,5300.2,5172.3,0
collatz,C# native,1000000,837799:524,5,163,175,170.8,0
collatz,C# vectorized,1000000,837799:524,5,162,178,168.6,0
collatz,Poly VM,1000000,837799:524,5,175,194,186.2,49
