benchmark,language,size_or_limit,result,runs,min_us,max_us,avg_us,prep_ms
sieve,C,1000000,78498,5,3769,4774,4051.200,0
sieve,C++,1000000,78498,5,4137.29,5057.17,4486.940,0
sieve,Rust,1000000,78498,5,3936,4091,3980.600,0
sieve,Python,1000000,78498,5,1128995,1525863,1257370.000,0
sieve,JS,1000000,78498,5,55231,64633,58776.600,0
sieve,Bun,1000000,78498,5,154148,244341,180993.400,0
sieve,Deno,1000000,78498,5,40042,44505,41819.800,0
sieve,Py+NumPy,1000000,78498,5,1974,2501,2202.600,0
sieve,C# native,1000000,78498,5,4176,4750,4373.400,0
sieve,C# vectorized,1000000,78498,5,4898,5792,5297.200,0
sieve,Poly VM,1000000,78498,5,4801,5153,4973.000,73
sieve,Poly VM (Normal),1000000,78498,5,4829,5025,4950.200,59
mandelbrot,C,128,458080,5,795,842,811.000,0
mandelbrot,C++,128,458080,5,787.666,831.333,805.174,0
mandelbrot,Rust,128,458080,5,786,791,788.800,0
mandelbrot,Python,128,458080,5,47686,49172,48690.400,0
mandelbrot,JS,128,458080,5,3378,7763,4371.400,0
mandelbrot,Bun,128,458080,5,3385,10065,4816.600,0
mandelbrot,Deno,128,458080,5,3204,3523,3311.200,0
mandelbrot,Py+NumPy,128,458080,5,17462,30179,23012.000,0
mandelbrot,C# native,128,458080,5,1072,1339,1141.400,0
mandelbrot,C# vectorized,128,458080,5,1056,1160,1119.800,0
mandelbrot,Poly VM,128,458080,5,1996,2114,2038.800,48
mandelbrot,Poly VM (Normal),128,458080,5,6290,6832,6493.200,52
mandelbrot,Poly VM double,128,5,453734,453734,453734.000,3470
nqueens,C,8,92,5,16,17,16.400,0
nqueens,C++,8,92,5,15.333,15.916,15.633,0
nqueens,Rust,8,92,5,15,16,15.400,0
nqueens,Python,8,92,5,638,654,643.400,0
nqueens,JS,8,92,5,626,843,688.000,0
nqueens,Bun,8,92,5,426,531,481.800,0
nqueens,Deno,8,92,5,731,1347,973.400,0
nqueens,Py+NumPy,8,92,5,598,677,619.600,0
nqueens,C# native,8,92,5,157,188,170.200,0
nqueens,C# vectorized,8,92,5,158,179,165.000,0
nqueens,Poly VM,8,92,5,1011,1416,1128.000,74
nqueens,Poly VM (Normal),8,92,5,1196,2920,1682.800,67
collatz,C,1000000,837799:524,5,167222,171834,169123.600,0
collatz,C++,1000000,837799:524,5,166955,202941,176109.600,0
collatz,Rust,1000000,837799:524,5,114455,124770,117995.600,0
collatz,Python,1000000,837799:524,5,5485323,6058824,5667840.000,0
collatz,JS,1000000,837799:524,5,2063487,2226613,2140187.400,0
collatz,Bun,1000000,837799:524,5,372064,404392,388003.800,0
collatz,Deno,1000000,837799:524,5,651366,680413,659519.600,0
collatz,Py+NumPy,1000000,837799:524,5,5262298,5488159,5342140.000,0
collatz,C# native,1000000,837799:524,5,178252,180402,179186.400,0
collatz,C# vectorized,1000000,837799:524,5,176166,182470,180159.600,0
collatz,Poly VM,1000000,837799:524,5,187527,191023,188694.800,53
collatz,Poly VM (Normal),1000000,837799:524,5,955026,994749,969960.400,56
